,ID,DATE,CURRENCY,PX_LAST,INDEX
144,LBUSTRUU Index,2014-02-11,,1833.54,LBUSTRUU Index
145,LBUSTRUU Index,2014-02-12,,1829.94,LBUSTRUU Index
146,LBUSTRUU Index,2014-02-13,,1834.57,LBUSTRUU Index
147,LBUSTRUU Index,2014-02-14,,1833.27,LBUSTRUU Index
148,LBUSTRUU Index,2014-02-15,,,LBUSTRUU Index
149,LBUSTRUU Index,2014-02-16,,,LBUSTRUU Index
150,LBUSTRUU Index,2014-02-17,,,LBUSTRUU Index
151,LBUSTRUU Index,2014-02-18,,1836.54,LBUSTRUU Index
152,LBUSTRUU Index,2014-02-19,,1834.54,LBUSTRUU Index
153,LBUSTRUU Index,2014-02-20,,1832.58,LBUSTRUU Index
154,LBUSTRUU Index,2014-02-21,,1834.65,LBUSTRUU Index
155,LBUSTRUU Index,2014-02-22,,,LBUSTRUU Index
156,LBUSTRUU Index,2014-02-23,,,LBUSTRUU Index
157,LBUSTRUU Index,2014-02-24,,1834.03,LBUSTRUU Index
158,LBUSTRUU Index,2014-02-25,,1838.81,LBUSTRUU Index
159,LBUSTRUU Index,2014-02-26,,1841.38,LBUSTRUU Index
160,LBUSTRUU Index,2014-02-27,,1844.35,LBUSTRUU Index
161,LBUSTRUU Index,2014-02-28,,1843.51,LBUSTRUU Index
162,LBUSTRUU Index,2014-03-01,,,LBUSTRUU Index
163,LBUSTRUU Index,2014-03-02,,,LBUSTRUU Index
164,LBUSTRUU Index,2014-03-03,,1847.07,LBUSTRUU Index
165,LBUSTRUU Index,2014-03-04,,1840.78,LBUSTRUU Index
166,LBUSTRUU Index,2014-03-05,,1840.61,LBUSTRUU Index
167,LBUSTRUU Index,2014-03-06,,1837.47,LBUSTRUU Index
168,LBUSTRUU Index,2014-03-07,,1832.95,LBUSTRUU Index
169,LBUSTRUU Index,2014-03-08,,,LBUSTRUU Index
170,LBUSTRUU Index,2014-03-09,,,LBUSTRUU Index
171,LBUSTRUU Index,2014-03-10,,1833.75,LBUSTRUU Index
172,LBUSTRUU Index,2014-03-11,,1834.79,LBUSTRUU Index
173,LBUSTRUU Index,2014-03-12,,1837.67,LBUSTRUU Index
174,LBUSTRUU Index,2014-03-13,,1843.63,LBUSTRUU Index
175,LBUSTRUU Index,2014-03-14,,1843.31,LBUSTRUU Index
176,LBUSTRUU Index,2014-03-15,,,LBUSTRUU Index
177,LBUSTRUU Index,2014-03-16,,,LBUSTRUU Index
178,LBUSTRUU Index,2014-03-17,,1839.37,LBUSTRUU Index
179,LBUSTRUU Index,2014-03-18,,1841.27,LBUSTRUU Index
